Game,TCP,UDP,
Don Bradman Cricket 14 Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Don Bradman Cricket 14 Xbox 360,3074,3074,
Don Bradman Cricket 14 Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Don King Presents Prizefighter Xbox 360,3074,3074,
Don't Starve Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Don't Starve Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Don't Starve Xbox One,3074,"88, 500, 3074, 3544, 4500",
Don't Starve Together Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Don't Starve Together,10999,,
Don't Starve Together Xbox One,3074,"88, 500, 3074, 3544, 4500",
Donkey Kong Country: Tropical Freeze Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Donkey Kong: Jungle Beat Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Donut County Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Donut County Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Donut County Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Donut County Xbox One,3074,"88, 500, 3074, 3544, 4500",
Doom Xbox 360,3074,"88, 3074",
Doom,666,666,
Doom (2016),"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Doom (2016) Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Doom (2016) Xbox One,3074,"88, 500, 3074, 3544, 4500",
Doom (2016) Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Doom 3,"27650, 27666","27650, 27666",
Doom 3: BFG Edition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Doom 3: BFG Edition Xbox 360,3074,"88, 3074",
Doom 3: BFG Edition,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Doom II Xbox 360,3074,"88, 3074",
Doom VFR,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Doom VFR Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DOT.TUNES,9990-9999,,
Dota 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Double Cross Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Double Cross Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Double D Dodgeball Xbox 360,3074,"88, 3074",
Double Dragon Xbox 360,3074,3074,
Double Fine Happy Action Theater Xbox 360,3074,"88, 3074",
Double Switch: 25th Anniversary Edition Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Double Switch: 25th Anniversary Edition Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Double Turn,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Downtown Mafia: Gang Wars,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Age 4 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Age 4 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dragon Age II Xbox 360,3074,"88, 3074",
Dragon Age II Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Age II,"8000, 12025, 15101-15325, 18081, 42127","1900, 5355, 8001",
Dragon Age: Inquisition Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Age: Inquisition Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dragon Age: Inquisition Xbox 360,3074,"88, 3074",
Dragon Age: Inquisition Playstation 3,"3478-3480, 5223, 8080, 9988, 10000-10100, 17502, 42127","3074, 3478-3479, 3658-3659, 14000-14016",
Dragon Age: Inquisition,"9988, 17502, 20000-20100, 22990, 42127","3659, 14000-14016, 22990-23006, 25200-25300",
Dragon Age: Origins Xbox 360,3074,"88, 3074",
Dragon Age: Origins Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Age: Origins Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Ball Z: Battle of Z Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball Z: Battle of Z Xbox 360,3074,"88, 3074",
Dragon Ball Z: Budokai - HD Collection Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball Z: Budokai - HD Collection Xbox 360,3074,"88, 3074",
Dragon Ball Z: Burst Limit Xbox 360,3074,"88, 3074",
Dragon Ball Z: Burst Limit Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball Z: For Kinect Xbox 360,3074,"88, 3074",
Dragon Ball Z: Ultimate Tenkaichi Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball Z: Ultimate Tenkaichi Xbox 360,3074,"88, 3074",
Dragon Ball: FighterZ Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Ball: FighterZ Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Ball: FighterZ Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dragon Ball: FighterZ Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Ball: Raging Blast Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball: Raging Blast Xbox 360,3074,"88, 3074",
Dragon Ball: Raging Blast 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball: Raging Blast 2 Xbox 360,3074,"88, 3074",
Dragon Ball: Xenoverse Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dragon Ball: Xenoverse,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Ball: Xenoverse Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Ball: Xenoverse Xbox 360,3074,"88, 3074",
Dragon Ball: Xenoverse Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Ball: Xenoverse 2,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Ball: Xenoverse 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Ball: Xenoverse 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dragon Marked for Death Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Quest Builders Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Quest Builders Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Quest Builders Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Quest Builders 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Quest Builders 2 Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Quest Heroes II,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Quest Heroes II Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Quest Heroes II Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Quest Heroes II Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Quest Heroes: The World Tree's Woe and the Blight Below Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Quest Heroes: The World Tree's Woe and the Blight Below Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon Quest Heroes: The World Tree's Woe and the Blight Below Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Quest Heroes: The World Tree's Woe and the Blight Below Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Quest XI: Echoes of an Elusive Age Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Quest XI: Echoes of an Elusive Age Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Quest XI: Echoes of an Elusive Age Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Sinker Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon Sinker Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon Sinker Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon Star Varnir Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon's Dogma Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon's Dogma Xbox 360,3074,"88, 3074",
Dragon's Dogma: Dark Arisen Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon's Dogma: Dark Arisen Xbox 360,3074,"88, 3074",
Dragon's Dogma: Dark Arisen Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon's Dogma: Dark Arisen Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon's Dogma: Dark Arisen Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dragon's Dogma: Dark Arisen Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon's Lair Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon's Lair Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon's Lair Xbox 360,3074,"88, 3074",
Dragon's Lair II: Time Warp Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon's Lair II: Time Warp Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dragon's Lair Trilogy Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dragon's Lair Trilogy Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dragon's Lair Trilogy Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon's Lair Trilogy Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dragon's Prophet,16300,16300,
Drakengard 3 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Drawful 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Drawful 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Drawful 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Drawn to Death Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Drawn to Life: The Next Chapter Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dreadnought Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dreadnought Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dream Match Tennis,2319,2319,
DreamBreak Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DreamBreak Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dreams Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DreamWorks Dragons: Dawn of New Riders Playstation 4,"1935, 3478-3480","3074, 3478-3479",
DreamWorks Dragons: Dawn of New Riders Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DreamWorks Dragons: Dawn of New Riders Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
DreamWorks Dragons: Dawn of New Riders Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dress Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Drift Zone,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Drift Zone Xbox One,3074,"88, 500, 3074, 3544, 4500",
Driveclub Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Driveclub VR Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Driver: Parallel Lines Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Driver: San Francisco,"1000, 14155-14156","1000, 3074, 9103",
Driver: San Francisco Playstation 3,"3478-3480, 5223, 8080, 14155-14156","3074, 3478-3479, 3658",
Driver: San Francisco Xbox 360,"3074, 14155-14156","88, 1000, 3074",
Driver: San Francisco Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Druidstone: The Secret of the Menhir Forest Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DualDesk,5500,,
Dues Ex,"7790-7792, 8777","7790-7792, 8777, 27900",
Duke Nukem 3D Xbox 360,3074,"88, 3074",
Duke Nukem 3D: 20th Anniversary World Tour Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Duke Nukem 3D: 20th Anniversary World Tour Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Duke Nukem 3D: 20th Anniversary World Tour Xbox One,3074,"88, 500, 3074, 3544, 4500",
Duke Nukem 3D: Megaton Edition Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Duke Nukem 3D: Megaton Edition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Duke Nukem Forever Xbox 360,3074,"88, 3074",
Duke Nukem Forever Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Duke Nukem Forever,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Duke Nukem: Manhattan Project Xbox 360,3074,"88, 3074",
Dune 2000,"1140-1234, 4000","1140-1234, 4000",
Dune2000,"3840, 4005, 4808, 4810, 4995, 7000-7002",1234-1237,
Dungeon Defenders Xbox 360,3074,3074,
Dungeon Defenders Playstation 3,5223,"5223, 3478-3479, 3658",
Dungeon Defenders II,"6500, 7777-7778, 7787, 51640-51650, 10000-12000, 20000-25000","6500, 7777-7778, 7787, 51640-51650, 10000-12000, 20000-25000",
Dungeon Defenders II Playstation 4,"80, 443, 1935, 3478-3480",3478-3479,
Dungeon Explorer Xbox 360,3074,3074,
Dungeon Girl,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dungeon of the Endless,27014-27050,"3478, 4379-4380, 27000-27031, 27036",
Dungeon of the Endless Xbox One,"53, 80, 3074","53, 88, 500, 3074, 3544, 4500",
Dungeon Siege,"2300-2400, 6073",,
Dungeon Siege II,"2300-2400, 6073",,
Dungeon Warfare Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dungeon Warfare 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
DungeonLand,25002,25002,
Dungeons & Dragons Online,"2900-2910, 9000-9010",,
Dungeons & Dragons: Chronicles of Mystara,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dungeons & Dragons: Chronicles of Mystara Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dungeons & Dragons: Chronicles of Mystara Xbox 360,3074,"88, 3074",
Dungeons & Dragons: Daggerdale,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dungeons & Dragons: Daggerdale Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dungeons & Dragons: Daggerdale Xbox 360,3074,"88, 3074",
Dungeons & Dragons: Dragonshard,7174-7177,7174-7177,
Dungeons 3 PlayStation 4,3478-3480,"3478, 3479",
Dungeons 3 Xbox One,3074,"500, 3074, 3544, 4500",
Dungeons of the Fallen Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dusk Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dusk Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dusk Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dusk Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dust: An Elysian Tail Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dust: An Elysian Tail Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dust: An Elysian Tail Xbox 360,3074,"88, 3074",
DVD Profiler,32847,,
Dwyco Video Conferencing,"1024-5000, 6700-6702, 6880",12000-16090,
DYE Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dying Light Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dying Light Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dying Light Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dying Light 2 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dying Light 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dying Light 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dying Light: Bad Blood Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dying Light: Bad Blood Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dying Light: Bad Blood Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dynasty Warriors 5: Empires Xbox 360,3074,"88, 3074",
Dynasty Warriors 5: Special Xbox 360,3074,"88, 3074",
Dynasty Warriors 6 Xbox 360,3074,"88, 3074",
Dynasty Warriors 6 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 6: Empires Xbox 360,3074,"88, 3074",
Dynasty Warriors 6: Empires Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 7 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 7 Xbox 360,3074,"88, 3074",
Dynasty Warriors 7: Empires Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 7: Xtreme Legends Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dynasty Warriors 7: Xtreme Legends Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 8 Xbox 360,3074,"88, 3074",
Dynasty Warriors 8 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 8 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dynasty Warriors 8 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dynasty Warriors 8: Empires Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 8: Empires Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dynasty Warriors 8: Empires Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dynasty Warriors 8: Empires Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dynasty Warriors 8: Empires Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dynasty Warriors 8: Xtreme Legends Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors 8: Xtreme Legends Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dynasty Warriors 8: Xtreme Legends Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dynasty Warriors 8: Xtreme Legends Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dynasty Warriors 9 Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dynasty Warriors 9 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dynasty Warriors 9 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Dynasty Warriors Online Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors Online Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dynasty Warriors: Godseekers Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors: Godseekers Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dynasty Warriors: Gundam Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors: Gundam Xbox 360,3074,"88, 3074",
Dynasty Warriors: Gundam 2 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors: Gundam 2 Xbox 360,3074,"88, 3074",
Dynasty Warriors: Gundam 3 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors: Gundam 3 Xbox 360,3074,"88, 3074",
Dynasty Warriors: Gundam Reborn Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors: Strikeforce Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Dynasty Warriors: Strikeforce Xbox 360,3074,"88, 3074",
DynGate,"80, 5938",,
Dysmantle Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Dysmantle Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Dysmantle Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Dysmantle Xbox One,3074,"88, 500, 3074, 3544, 4500",
E.X. Troopers Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
E.Y.E. - Divine Cybermancy,27015-27039,"1200, 2700-27050",
EA Download Manager,"80, 443, 1024-1124, 9960-9969, 18000, 18120, 18060, 27900, 28910, 29900","1024-1124, 18000, 29900",
EA Origin,"1024-1124, 3216, 9960-9969, 18000, 18060, 18120, 27900, 28910, 29900","1024-1124, 18000, 29900",
EA Sports UFC Playstation 4,"1935, 3478-3480","3074, 3478-3479",
EA Sports UFC Xbox One,3074,"88, 500, 3074, 3544, 4500",
EA Sports UFC 2 Xbox One,3074,"88, 500, 3074, 3544, 4500",
EA Sports UFC 2 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
EA Sports UFC 3 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
EA Sports UFC 3 Xbox One,3074,"88, 500, 3074, 3544, 4500",
Eagle Flight Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Eagle Flight,"13000, 13005, 13200, 14000-14001, 14008","5055-5056, 5058",
Earth 2150,2300-2400,"2300-2400, 47624",
Earth 2150: Lost Souls,2300-2400,"2300-2400, 47624",
Earth 2150: The Moon Project,2300-2400,"2300-2400, 47624",
Earth 2160,"17771, 17172",,
Earth Atlantis Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Earth Atlantis Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Earth Atlantis Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Earth Atlantis Xbox One,3074,"88, 500, 3074, 3544, 4500",
Earth Defense Force 2017 Xbox 360,3074,"88, 3074",
Earth Defense Force 2025 Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Earth Defense Force 2025 Xbox 360,3074,"88, 3074",
Earth Defense Force 4.1: The Shadow of New Despair,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Earth Defense Force 4.1: The Shadow of New Despair Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Earth Defense Force 5 Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Earth Defense Force: Insect Armageddon,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Earth Defense Force: Insect Armageddon Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Earth Defense Force: Insect Armageddon Xbox 360,3074,"88, 3074",
Earth Defense Force: Iron Rain Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Earth No More Xbox 360,3074,3074,
Earth No More Playstation 3,5223,"5223, 3478, 3479, 3658",
Earth's Dawn,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Earth's Dawn Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Earth's Dawn Xbox One,3074,"88, 500, 3074, 3544, 4500",
Earthfall Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Earthfall Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Earthfall Xbox One,3074,"88, 500, 3074, 3544, 4500",
Eastshade Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
